r;ampl1;ampl2
0.1001445;-3.92785;-5.725547
0.2004398;-3.479839;-5.735545
0.3007899;-3.201807;-5.745715
0.4011657;-3.009501;-5.756474
0.5003425;-2.869796;-5.766981
0.6007252;-2.762017;-5.782688
0.7011043;-2.677405;-5.782864
0.8002653;-2.611732;-5.761049
0.9006251;-2.558875;-5.744409
1.00098;-2.516648;-5.743259
1.100116;-2.48393;-5.749425
1.200457;-2.457683;-5.744589
1.300795;-2.436951;-5.723621
1.40113;-2.421209;-5.713156
1.500255;-2.409085;-5.693193
1.60059;-2.398698;-5.669722
1.700924;-2.37934;-5.642047
1.80005;-2.355944;-5.622602
1.900385;-2.332969;-5.601856
2.000722;-2.311877;-5.592947
2.101061;-2.292701;-5.572606
2.200195;-2.275754;-5.533746
2.300537;-2.26086;-5.50137
2.400877;-2.247691;-5.477024
2.500016;-2.236743;-5.460455
2.600355;-2.227549;-5.448673
2.700701;-2.220345;-5.442144
2.801043;-2.214587;-5.439383
2.900177;-2.210354;-5.436762
3.000525;-2.207922;-5.437976
3.100868;-2.206857;-5.438018
3.200001;-2.207159;-5.439641
3.300341;-2.208962;-5.443504
3.400682;-2.211979;-5.456537
3.501021;-2.216377;-5.47653
3.600154;-2.221971;-5.501141
3.700492;-2.228914;-5.525221
3.80083;-2.236953;-5.547927
3.901164;-2.246081;-5.576377
4.000292;-2.255889;-5.601674
4.100627;-2.266646;-5.618615
4.20096;-2.277902;-5.634686
4.300082;-2.288359;-5.66625
4.400412;-2.299912;-5.705936
4.500744;-2.311844;-5.738198
4.601078;-2.319468;-5.74983
4.700198;-2.327413;-5.764905
4.800523;-2.33334;-5.795923
4.900858;-2.330981;-5.854132
5.001192;-2.326559;-5.919078
5.100311;-2.319431;-5.976214
5.200642;-2.309152;-6.056786
5.300978;-2.29436;-6.169366
5.400091;-2.282488;-6.317618
5.500429;-2.267393;-6.462005
5.60076;-2.255314;-6.552981
5.701091;-2.241447;-6.558504
5.80022;-2.229068;-6.488898
5.900544;-2.217885;-6.423055
6.000883;-2.203793;-6.333336
6.101206;-2.193893;-6.236782
6.200337;-2.18131;-6.168929
6.300664;-2.172617;-6.12301
6.401007;-2.161081;-6.079472
6.500115;-2.154217;-6.022032
6.600446;-2.144132;-5.962182
6.700768;-2.137324;-5.928603
6.801111;-2.13022;-5.895295
6.900225;-2.123397;-5.850342
