r;ampl4
1.203457E-3;-5.548683
0.1001445;-5.625441
0.2004398;-5.697045
0.3007899;-5.757168
0.4011657;-5.85091
0.5003425;-5.926213
0.6007252;-6.054517
0.7011043;-6.037375
0.8002653;-6.108968
0.9006251;-5.98651
1.00098;-5.939775
1.100116;-5.987494
1.200457;-6.115404
1.300795;-6.004217
1.40113;-6.056025
1.500255;-6.004871
1.60059;-5.955335
1.700924;-5.983422
1.80005;-5.922227
1.900385;-5.896123
2.000722;-5.758268
2.101061;-5.679116
2.200195;-5.626479
2.300537;-5.522443
2.400877;-5.432323
2.500016;-5.411818
2.600355;-5.384735
2.700701;-5.365651
2.801043;-5.367757
2.900177;-5.313305
3.000525;-5.269869
3.100868;-5.262981
3.200001;-5.262178
3.300341;-5.257684
3.400682;-5.243834
3.501021;-5.240106
3.600154;-5.220253
3.700492;-5.209723
3.80083;-5.209208
3.901164;-5.219121
4.000292;-5.219478
4.100627;-5.223903
4.20096;-5.217437
4.300082;-5.205437
4.400412;-5.205523
4.500744;-5.202988
4.601078;-5.199798
4.700198;-5.179824
4.800523;-5.160789
4.900858;-5.141733
5.001192;-5.128508
5.100311;-5.114176
5.200642;-5.103339
5.300978;-5.087799
5.400091;-5.088977
5.500429;-5.10132
5.60076;-5.093312
5.701091;-5.093625
5.80022;-5.084008
5.900544;-5.076764
6.000883;-5.069766
6.101206;-5.062996
6.200337;-5.056937
6.300664;-5.037961
6.401007;-5.019688
6.500115;-5.010831
6.600446;-4.995792
6.700768;-4.985755
6.801111;-4.97286
6.900225;-4.970084
7.00057;-4.968792
7.100899;-4.967015
7.200026;-4.967594
7.300358;-4.970004
7.40068;-4.98702
7.501017;-5.002112
7.60013;-5.019364
7.700467;-5.034454
7.800794;-5.052989
7.901116;-5.061169
8.000241;-5.071548
8.100555;-5.080397
8.200881;-5.087723
8.300002;-5.090183
8.400319;-5.103691
8.50065;-5.111627
8.600978;-5.119844
8.700089;-5.143089
8.800423;-5.161859
8.900744;-5.182661
9.001057;-5.195719
9.10018;-5.205397
9.200502;-5.220792
9.300811;-5.218706
9.401139;-5.209209
9.500261;-5.221733
9.60057;-5.227371
9.700891;-5.247657
9.80001;-5.25525
9.900319;-5.269439
10.00063;-5.304758
10.10096;-5.325782
10.20007;-5.332176
10.30038;-5.361276
10.4007;-5.366473
10.50103;-5.367085
10.60013;-5.352939
10.70045;-5.335674
10.80076;-5.320297
10.90109;-5.278128
11.0002;-5.247135
11.10051;-5.216674
11.20084;-5.19448
11.30117;-5.176634
11.40026;-5.177405
11.50056;-5.153203
11.60087;-5.131326
11.7012;-5.124383
11.8003;-5.114681
11.90061;-5.098059
12.00092;-5.076524
12.10004;-5.05804
12.20035;-5.035212
12.30067;-5.020302
12.40097;-5.003174
12.50008;-4.988002
12.60041;-4.969873
12.70072;-4.96199
12.80102;-4.949803
12.90012;-4.946788
13.00044;-4.945064
13.10077;-4.944961
13.20108;-4.946875
13.30018;-4.948935
13.40048;-4.961677
13.5008;-4.975228
13.60111;-4.986669
13.70021;-5.003193
13.8005;-5.006531
13.90081;-5.005801
14.00111;-4.991341
14.1002;-4.969288
14.20051;-4.956646
14.30082;-4.93123
14.40112;-4.913473
14.50022;-4.893235
14.60054;-4.883506
14.70085;-4.871799
14.80116;-4.863956
14.90026;-4.861694
15.00056;-4.859029
15.10086;-4.864045
15.20115;-4.867785
15.30025;-4.87215
15.40055;-4.872118
15.50083;-4.874461
15.60113;-4.879304
15.70021;-4.886848
15.80052;-4.895501
15.90084;-4.904478
16.00112;-4.914651
16.10022;-4.922899
16.20053;-4.933229
16.30083;-4.946218
16.40114;-4.949284
16.50023;-4.949146
16.60053;-4.949163
16.70084;-4.958006
16.80113;-4.954518
16.90023;-4.959408
17.00053;-4.949276
17.10082;-4.942727
17.20112;-4.947654
17.3002;-4.944321
17.40049;-4.945028
17.50079;-4.944637
17.60109;-4.943373
17.70016;-4.940127
17.80046;-4.944153
17.90076;-4.946071
18.00105;-4.946151
18.10013;-4.93646
18.20043;-4.941106
18.30071;-4.941682
18.40102;-4.940938
18.50011;-4.947334
18.6004;-4.942433
18.70068;-4.946406
18.80097;-4.95555
18.90002;-4.961454
19.00027;-4.963759
19.10053;-4.971008
19.20078;-4.970278
19.30103;-4.982102
19.40011;-4.98461
19.50041;-4.982676
19.6007;-4.977172
19.70097;-4.972311
19.80005;-4.96453
19.90033;-4.950595
20.00063;-4.937507
20.10094;-4.923828
20.20004;-4.914976
20.30031;-4.896442
20.4006;-4.892022
20.50087;-4.886688
20.60112;-4.883022
20.70017;-4.873615
20.80044;-4.874645
20.90072;-4.875114
21.00099;-4.867854
21.10005;-4.867168
21.20032;-4.865475
21.30061;-4.860509
21.40088;-4.857891
21.50117;-4.85026
21.60025;-4.842344
21.70052;-4.830065
21.80079;-4.822322
21.90104;-4.80923
22.00009;-4.792133
22.10035;-4.782994
22.20062;-4.772427
22.30089;-4.760918
22.40114;-4.749564
22.50019;-4.741016
22.60043;-4.729468
22.7007;-4.722883
22.80096;-4.714893
22.9;-4.705857
23.00027;-4.698847
23.10054;-4.693264
23.20082;-4.684099
23.30108;-4.676727
23.4001;-4.671824
23.50036;-4.666791
23.60061;-4.661731
23.70087;-4.654578
23.8011;-4.643824
23.90013;-4.635032
24.00039;-4.625968
24.10064;-4.61389
24.20088;-4.59877
24.30112;-4.585871
24.40017;-4.572768
24.50045;-4.559478
24.60073;-4.549017
24.70094;-4.536565
24.80115;-4.524482
24.90016;-4.513411
25.00038;-4.503516
25.1006;-4.497584
25.20083;-4.490562
25.30106;-4.482917
25.40009;-4.478879
25.50033;-4.474146
25.6006;-4.47072
25.70084;-4.46945
25.80107;-4.466241
25.9001;-4.465373
26.00032;-4.465299
26.10055;-4.464694
26.20078;-4.465645
26.30099;-4.46587
26.4012;-4.468932
26.50022;-4.470372
26.60046;-4.471699
26.7007;-4.474465
26.80094;-4.477022
26.9012;-4.479604
27.00023;-4.484748
27.10047;-4.484985
27.20071;-4.487309
27.30094;-4.490556
27.40119;-4.49028
27.50021;-4.490015
27.60039;-4.489785
27.70057;-4.48716
27.80074;-4.484596
27.90085;-4.483126
28.00099;-4.482069
28.10116;-4.47859
28.20018;-4.47295
28.30041;-4.466855
28.40066;-4.460122
28.5009;-4.453614
28.60112;-4.446047
28.70014;-4.437077
28.80032;-4.428384
28.90048;-4.420062
29.00065;-4.411977
29.10086;-4.403404
29.20104;-4.393965
29.30117;-4.386087
29.40009;-4.37759
29.50018;-4.37153
29.6003;-4.36658
29.70047;-4.358793
29.8007;-4.352773
29.90093;-4.347129
30.00114;-4.342279
30.10015;-4.337765
30.20035;-4.334932
30.30054;-4.331569
30.40074;-4.326315
30.50092;-4.323951
30.60111;-4.323392
